SMILES,pKi IC50 Pi3K,pKi IC50 mTor,Water Solubility,Caco2 permeability,CYP1A2 inhibitor,CYP3A4 inhibitor,Total Clearance
CCc1ncnc(-c2ccc(C(=O)NCCN3CCCC3=O)c(F)c2)c1C#Cc1ccc(N)nc1,7.337242168,8.301029996,,0.526,0,1,0.538
CCc1ncnc(-c2ccc(C(=O)NCCN3CCNCC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.428058365,7.177570376,-3.882,0.376,0,1,0.568
CCc1ncnc(-c2ccc(C(=O)NCCN3CCOCC3)c(C)c2)c1C#Cc1ccc(N)nc1,7.497026941,8.223298816,,0.552,0,1,0.757
CCc1ncnc(-c2ccc(C(=O)NCCN3CCOCC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.945386945,8.420216403,,0.439,0,1,0.724
CCc1ncnc(-c2ccc(C(=O)NCCN3CCOCC3)c(F)c2)c1C#Cc1ccc(N)nc1,7.356547324,8.397940009,-4.258,0.525,0,1,0.682
CCc1ncnc(-c2ccc(C(=O)NC3CCN(C3)C3CCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.431798276,8.15490196,,,0,1,0.474
CCc1ncnc(-c2ccc(C(=O)NC3CCN(CCOC)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.872895202,7.958607315,-4.39,0.607,0,1,0.683
CCc1ncnc(-c2ccc(C(=O)NC3CCS(=O)(=O)C3)c(F)c2)c1C#Cc1ccc(N)nc1,7.102372909,8.301029996,-4.158,,0,1,
CCc1ncnc(-c2ccc(C(=O)NCC3(C)COC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.180456064,8.155212281,-4.491,,0,1,0.388
CCc1ncnc(-c2ccc(C(=O)NCC3(C)COC3)c(C)c2)c1C#Cc1ccc(N)nc1,6.826522357,7.776244546,-4.37,0.716,0,1,0.68
CCc1ncnc(-c2ccc(C(=O)NCC3(C)COC3)c(F)c2)c1C#Cc1ccc(N)nc1,7.142667504,9,-4.474,0.689,0,1,0.387
CCc1ncnc(-c2ccc(C(=O)NCC3CCCN(C)C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.200659451,7.48148606,-4.521,0.797,0,1,0.395
CCc1ncnc(-c2ccc(C(=O)NCC3CCN(C)C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.474955193,7.48148606,-4.398,0.738,0,1,0.44
CCc1ncnc(-c2ccc(C(=O)NC3CCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.360513511,7.522878745,-4.099,0.787,0,1,0.52
CCc1ncnc(-c2ccc(C(=O)NC3CC(C)(C)N(C)C(C)(C)C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.384049948,7.795880017,-4.544,1.122,0,1,
CCc1ncnc(-c2ccc(C(=O)NC)c(F)c2)c1C#Cc1ccc(N)nc1,6.647817482,8.096910013,-3.944,0.621,1,1,0.495
CCc1ncnc(-c2ccc(C(=O)NC3CC(C)(C)NC(C)(C)C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.565431096,7.744727495,-4.427,1.011,,1,0.281
CCc1ncnc(-c2ccc(C(=O)NC3CC(C3)N3CCC(CC3)N3CCCC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.511449283,8.096910013,,0.955,0,1,0.699
CCc1ncnc(-c2ccc(C(=O)NC3CC(C3)N3CCCC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.801342913,7.958607315,-4.217,0.838,0,1,0.788
CCc1ncnc(-c2ccc(C(=O)NC3CC(C3)N3CCCCC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.360513511,8,-4.315,0.899,0,1,
CCc1ncnc(-c2ccc(C(=O)NC3CC(C3)N3CCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.692503962,8.522878745,-3.956,0.773,0,1,0.587
CCc1ncnc(-c2ccc(C(=O)NC3CCCN(C)C3)c(C)c2)c1C#Cc1ccc(N)nc1,7.194567112,8.46470588,-4.004,0.907,0,1,0.517
CCc1ncnc(-c2ccc(C(=O)NC3CC(C3)N3CCN(O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.454692884,7.886056648,-4.046,0.518,0,1,0.497
CCc1ncnc(-c2ccc(C(=O)NC3CCCN(C)C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.292557576,,,0.794,0,1,0.484
CCc1ncnc(-c2ccc(C(=O)NC3CCCN(C)C3)c(F)c2)c1C#Cc1ccc(N)nc1,,7.508638306,-4.219,0.88,0,1,0.442
CCc1ncnc(-c2ccc(C(=O)NC3CCCN(C3)C3CCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,,7.552841969,-4.148,0.998,0,1,0.387
CCc1ncnc(-c2ccc(C(=O)NC3CCN(C)C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.459670525,7.823908741,-4.069,0.726,0,,0.515
CCc1ncnc(-c2ccc(C(=O)N3CCn4ccnc4C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.639028116,9.173925197,,0.805,,1,0.614
CCc1ncnc(-c2ccc(C(=O)N3CCn4ccnc4C3)c(F)c2)c1C#Cc1ccc(N)nc1,7.218460031,8.756961951,-3.094,,0,1,0.57
CCc1ncnc(-c2ccc(C(=O)N3CCn4cnnc4C3)c(F)c2)c1C#Cc1ccc(N)nc1,7.294221787,8.928117993,,1.006,0,1,0.334
CCc1ncnc(-c2ccc(C(=O)N3CCn4cnnc4C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,8.316052869,9.337242168,,0.92,0,1,0.265
CCc1ncnc(-c2ccc(C(=O)NC)c(Cl)c2)c1C#Cc1ccc(C)nc1,6.627087997,7.744727495,-4.651,1.329,1,1,0.2
CCc1ncnc(-c2ccc(C(=O)NC)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.148741651,8.301029996,-3.923,0.535,1,1,0.147
CCc1ncnc(-c2ccc(C(=O)N3CCOCC3)c(F)c2)c1C#Cc1ccc(N)nc1,7.259637311,8.522878745,-4.205,0.842,0,0,0.448
CCc1ncnc(-c2ccc(C(=O)N3CCOCC3)c(F)c2)c1C#Cc1ccc(N)nc1C,,8.096910013,,0.906,0,1,0.416
CCc1ncnc(-c2ccc(C(=O)N3CCS(=O)CC3)c(C)c2)c1C#Cc1ccc(N)nc1,7.201971207,,-3.957,0.795,0,1,0.977
CCc1ncnc(-c2ccc(C(=O)N3CCS(=O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.195213358,8.560667306,-4.067,0.682,0,,0.293
CCc1ncnc(-c2ccc(C(=O)N3CCOCC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.998699067,8.197910742,-4.149,0.758,0,1,0.697
CCc1ncnc(-c2ccc(C(=O)N3CCS(=O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,7.337242168,8.522878745,-4.093,0.768,0,1,0.649
CCc1ncnc(-c2ccc(C(=O)N3CCc4ncccc4C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.960982678,8.962573502,-3.808,1.291,0,1,0.571
CCc1ncnc(-c2ccc(C(=O)N3CCn4c(C)cnc4C3)c(F)c2)c1C#Cc1ccc(N)nc1,,9.096910013,-3.135,0.919,0,1,0.549
CCc1ncnc(-c2ccc(C(=O)N3CCn4c(C)cnc4C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.501000636,9.013228266,-3.178,0.834,0,1,0.594
CCc1ncnc(-c2ccc(C(=O)N3CCn4c(COC)nnc4C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.811915626,8.653647026,-3.944,0.847,,1,0.378
CCc1ncnc(-c2ccc(C(=O)N3CCOC(C)(C)C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.966174306,8.048419655,-4.409,,0,,0.42
CCc1ncnc(-c2ccc(C(=O)N3CCOC4(CCN(CC4)C(=O)OC(C)(C)C)C3)c(F)c2)c1C#Cc1ccc(N)nc1,5.929803229,7.168962514,-4.649,1.04,0,1,-0.274
CCc1ncnc(-c2ccc(C(=O)N3CCOCC3)c(C)c2)c1C#Cc1ccc(N)nc1,7.225848141,8.554395797,-4.03,0.851,0,1,0.775
CCc1ncnc(-c2ccc(C(=O)N3CCOC4(CCNCC4)C3)c(F)c2)c1C#Cc1ccc(N)nc1,,7.942333896,-4.054,1.012,0,1,0.525
CCc1ncnc(-c2ccc(C(=O)N3CCOCC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.177374321,9.337242168,-4.154,0.738,0,1,0.545
CCc1ncnc(-c2ccc(C(=O)N3CCNCC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.785818691,8.101000729,-3.708,0.603,0,0,0.518
CCc1ncnc(-c2ccc(C(=O)N3CCNCC3)c(F)c2)c1C#Cc1ccc(N)nc1,7.244125144,7.886056648,-3.821,0.688,0,0,0.474
CCc1ncnc(-c2ccc(C(=O)N3CCN(Cc4ncon4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.862297833,9.180456064,-3.797,0.559,0,1,0.356
CCc1ncnc(-c2ccc(C(=O)N3CCN(Cc4nc(C)c(C)o4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.774432287,,-4.109,0.878,0,1,0.493
CCc1ncnc(-c2ccc(C(=O)N3CCN(O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,,,,0.554,0,1,0.422
CCc1ncnc(-c2ccc(C(=O)N3CCN(Cc4ncon4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.776426189,9.346787486,-3.839,0.644,0,1,0.311
CCc1ncnc(-c2ccc(C(=O)N3CCN4CCCC4C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.835617604,9.004364805,-3.857,1.358,0,1,0.55
CCc1ncnc(-c2ccc(C(=O)N3CCN4CCCC4C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.741292119,8.855707728,-3.932,1.397,0,1,0.504
CCc1ncnc(-c2ccc(C(=O)N3CCN4CCCC4C3)c(OC(F)(F)F)c2)c1C#Cc1ccc(N)nc1,6.804100348,8.030118356,-4.104,0.663,0,1,0.084
CCc1ncnc(-c2ccc(C(=O)N3CCN4CCCCC4C3)c(C)c2)c1C#Cc1ccc(N)nc1,6.538801711,8.107905397,,1.376,0,1,0.538
CCc1ncnc(-c2ccc(C(=O)N3CCN4CCCCC4C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.771599641,8.525783736,-3.972,1.366,0,1,
CCc1ncnc(-c2ccc(C(=O)N3CCN4CCCCC4C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.985984146,8.518394199,-4.022,1.405,0,1,0.459
CCc1ncnc(-c2ccc(C(=O)N3CCN4CCCCC4C3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.553618188,7.679023323,-3.954,0.889,0,1,0.521
CCc1ncnc(-c2ccc(C(=O)N3CCNCC3)c(C)c2)c1C#Cc1ccc(N)nc1,7.429924295,7.857610534,,,0,0,0.551
CCc1ncnc(-c2ccc(C(=O)N3CCNC(=O)C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.568636236,9.086186148,-3.954,0.528,0,0,0.275
CCc1ncnc(-c2ccc(C(=O)N3CCN4CCCCC4C3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.317854924,8.096910013,,1.417,0,1,0.476
CCc1ncnc(-c2ccc(C(=O)N3CCNC(=O)C3)c(OC)c2)c1C#Cc1ccc(N)nc1,7.721246399,9,-3.948,0.066,0,1,0.481
CCc1ncnc(-c2ccc(C(=O)N3CCN(Cc4ccccc4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,5.992679047,8.045757491,-4.77,1.319,0,1,0.472
CCc1ncnc(-c2ccc(C(=O)N3CCN(Cc4ccccc4)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.381638069,8.305394801,-4.777,0.93,0,1,0.518
CCc1ncnc(-c2ccc(C(=O)N3CCN(Cc4nc(C)c(C)o4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.897360516,8.823908741,-4.088,0.792,0,,0.539
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCOC)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.872895202,9,,0.535,0,1,0.588
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCOCCO)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.968753164,8.89279003,-4.148,0.304,0,1,0.679
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCOCCO)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.962294687,8.93930216,,0.389,0,1,0.633
CCc1ncnc(-c2ccc(C(=O)N3CCN(Cc4cc(C)no4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.957385115,9.408935393,-3.974,0.597,0,1,0.448
CCc1ncnc(-c2ccc(C(=O)N3CCN(Cc4cc(C)no4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,,8.821023053,-4.001,0.683,0,1,0.402
CCc1ncnc(-c2ccc(C(=O)N3CCN(Cc4ccccc4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,,7.535138019,-4.881,1.257,0,1,0.502
CCc1ncnc(-c2ccc(C(=O)N3CCN(Cc4ccccc4)CC3)c(C)c2)c1C#Cc1ccc(N)nc1,6.958607315,,-4.828,1.267,0,1,0.534
CCc1ncnc(-c2ccc(C(=O)N3CCN(Cc4ccccc4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,,7.920818754,-4.739,1.308,0,1,
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCN)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.742801574,8.073143291,-3.637,0.395,0,1,0.412
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCNS(C)(=O)=O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.514278574,8.832682665,,,0,1,0.278
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCNS(C)(=O)=O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,7.089856039,8.946921557,-4.071,0.048,0,1,0.233
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCO)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.075720714,9.22184875,-3.915,0.378,0,1,0.488
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCO)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.962573502,,-4.019,0.464,0,1,0.444
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCO)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.818156412,8.522878745,-3.937,0.38,0,1,0.504
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCOC)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.838631998,8.22184875,-4.264,0.619,0,1,0.528
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCN(C)C)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.262807357,,-3.928,0.587,0,1,0.407
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCN(C)C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.344861565,7.795880017,-4.008,0.671,0,1,0.346
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCN(C)C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.258060922,8.15490196,-4.073,0.735,0,1,0.362
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC4CCCCC4)CC3)c(C)c2)c1C#Cc1ccc(N)nc1,7.042440598,8.910094889,-5.14,1.348,0,1,0.508
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC4CC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.603800653,8.301029996,-4.6,1.349,0,1,0.664
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC4CC4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.641874715,,,1.31,0,1,0.709
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC4CCCCC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,5.738737131,7.408935393,-5.098,1.377,0,1,
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC4CCCCC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,5.896538378,7.167491087,,1.388,0,1,0.446
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC4CCCCC4)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,5.515415471,7.798876103,-5.093,1.174,0,1,0.492
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC4CCCN(C)C4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.725842151,7.920818754,-4.182,0.997,0,1,
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCCS(C)(=O)=O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.23462952,8.568636236,-4.698,0.448,0,1,0.323
CCc1ncnc(-c2ccc(C(=O)N3CCN(CC4CCCO4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.716698771,8.301029996,-4.216,0.895,0,1,0.604
CCc1ncnc(-c2ccc(C(=O)N3CCN(CCCS(C)(=O)=O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,,,-4.673,0.534,0,1,0.278
